"","2012","2011","2009","2010"
"112",378.600521099145,436.367200240456,511.191116909593,452.966025040029
"113",389.232460673052,453.044356623794,515.414495604991,457.749022238414
"114",389.232460673052,456.614013146786,515.414495604991,457.749022238414
"115",392.353959686363,459.262118023429,522.99093392585,469.583707286602
"116",392.353959686363,459.262118023429,522.99093392585,476.25019052879
"117",392.353959686363,472.963614575433,527.410074516683,476.25019052879
"118",392.353959686363,472.963614575433,534.580384350739,483.425589975938
"119",395.772214669163,476.805651401872,547.097490279589,493.729163631101
"120",401.178833763747,482.919182071281,551.531557015537,496.092409346472
"121",411.008280849527,492.996411879453,551.531557015537,503.763398456472
"122",417.295782293891,495.732641975616,566.317495382421,503.763398456472
"123",417.295782293891,495.732641975616,569.330352739756,515.897519162301
"124",425.056621645316,499.380557001142,573.119117695354,532.467274626825
"125",441.598945771903,499.380557001142,584.03953613833,535.661313037707
"126",441.598945771903,502.655380981085,587.725025416653,544.687285262439
"127",441.598945771903,514.989838038283,603.137052267327,549.205690353832
"128",456.59949270852,514.989838038283,603.137052267327,549.205690353832
"129",483.182024217017,519.074367292956,607.71176820436,565.664602809303
"130",505.443195592485,523.06342047249,610.029600893402,573.798321660198
"131",512.002354464437,523.06342047249,624.878980444723,577.426346605099
"132",512.002354464437,529.805894207126,624.878980444723,587.83608831766
"133",529.592969717823,539.126586385783,628.510422150264,587.83608831766
"134",546.762036234567,550.753740386427,633.889482314924,597.12651975742
"135",546.762036234567,553.388519473083,645.50115440196,609.184554875824
"136",558.35198726012,560.752256913479,658.003597498727,609.184554875824
"137",560.718042352325,566.524306278001,661.05069768546,614.509001882012
"138",580.612174452772,572.023015764405,664.389555356517,640.897739823623
"139",580.612174452772,572.023015764405,676.398895459604,649.143313077244
"140",605.337415438782,575.128590259552,678.748252795413,659.071450084153
"141",625.958850827729,585.219208254618,691.060049083667,662.455254554922
"142",629.995437042009,590.564061278205,694.553224947873,667.568568594283
"143",632.897939058606,590.564061278205,698.415625255713,677.214210877815
