"X","Species","Type","site","lat","lon","alt","Biome","year","tree","DOY","MAT","Chill0_5","Chill_5_5","Chill_5_0","Chill_10_0","Force5s","photoperiod","scPDSI1","scPDSI2","scPDSI3","scPDSI4","scPDSI5","scPDSI6","scPDSI_p","SPEI1m1","SPEI1m2","SPEI1m3","SPEI1m4","SPEI1m5","SPEI1m6","SPEI1m_p","SPEI3m1","SPEI3m2","SPEI3m3","SPEI3m4","SPEI3m5","SPEI3m6","SPEI3m_p","SPEI6m1","SPEI6m2","SPEI6m3","SPEI6m4","SPEI6m5","SPEI6m6","SPEI6m_p","Precip","PrecipDOY"
"47","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2009,67,104,8.95927749770959,73,110,37,43,140.398721259116,13.46,-0.99,-0.72,-0.35,-0.87,-1.25,-1.17,-0.35,-1.132,0.86933,1.0288,-1.0332,-0.39396,-0.52019,1.0288,-1.2257,-0.23875,0.41057,0.39611,-0.24412,-1.1942,0.41057,0.1747,0.23053,0.14961,-0.70761,-0.39958,-0.58284,0.14961,1518.7,444.2
"48","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2013,2,123,10.3147945205479,67,98,31,33,244.581844458457,14.51,1.34,1.31,1.19,1.31,2.04,2.04,1.31,-0.17601,0.28648,-0.73606,1.4089,1.4952,0.0044106,1.4089,0.58505,0.51065,-0.47018,0.53295,1.2626,1.5733,0.53295,-0.16604,0.38217,0.1848,0.68356,1.0637,0.77469,0.68356,872.6,240.1
"49","ABAL","Late","WAL",48.36666667,7.083333333,370,"Temperate",2007,26,110,10.5205710895068,49,54,5,6,373.816845991334,13.76,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,1229.8,376
"50","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,7,118,10.4369863013699,45,55,10,10,442.139505402824,14.22,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,272
"51","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2009,52,118,9.25033524392329,64,109,45,55,198.377331301217,14.22,-0.99,-0.72,-0.35,-0.87,-1.25,-1.17,-0.87,-1.132,0.86933,1.0288,-1.0332,-0.39396,-0.52019,-1.0332,-1.2257,-0.23875,0.41057,0.39611,-0.24412,-1.1942,0.39611,0.1747,0.23053,0.14961,-0.70761,-0.39958,-0.58284,-0.70761,1067.8,359.6
"52","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2008,64,127,8.32830922596721,84,128,44,49,193.918743555165,14.64,-0.87,-1.09,0.38,0.69,0.65,0.58,0.69,-0.27264,-0.80193,1.0734,0.43455,0.18508,-1.0404,0.43455,-0.55906,-0.4537,0.0021925,0.36006,0.82302,-0.32723,0.36006,-0.61736,-1.389,-0.68308,-0.16817,0.25931,-0.24012,-0.16817,1770.06,696.44
"53","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2008,67,113,8.32830922596721,84,128,44,49,108.37749691284,13.92,-0.87,-1.09,0.38,0.69,0.65,0.58,0.69,-0.27264,-0.80193,1.0734,0.43455,0.18508,-1.0404,0.43455,-0.55906,-0.4537,0.0021925,0.36006,0.82302,-0.32723,0.36006,-0.61736,-1.389,-0.68308,-0.16817,0.25931,-0.24012,-0.16817,1770.06,669.44
"54","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2008,48,127,8.97917797744535,62,99,37,40,270.189865619637,14.63,-0.79,-1.13,0.45,1.32,0.79,0.33,1.32,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,1.932,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.346,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0199,1102.6,438.4
"55","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2008,2,97,9.92707650137978,71,85,14,17,162.416181750286,13.03,2.42,2.22,2.5,2.77,2.45,2.26,2.5,0.38369,0.055236,1.117,1.2329,-0.43209,-0.16648,1.117,0.11499,0.40662,0.73218,1.1477,1.0068,0.31318,0.73218,0.22319,-0.79272,-0.23287,0.82749,0.82888,0.60727,-0.23287,727.4,182.4
"56","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2008,50,141,8.97917797744535,62,99,37,40,400.115032071825,15.24,-0.79,-1.13,0.45,1.32,0.79,0.33,0.79,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,0.17222,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.4653,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0021,1102.6,464.2
