"lat","site","year","spat","fu","photo","phen"
48.2,"SIM2",2010,3.22964984583532,181.823264746234,13.82,111
29.65,"SYG",2007,5.98411594050453,337.168597809083,12.94,112
29.65,"SYG",2008,4.80763962072712,337.442045379549,13.6,141
29.65,"SYG",2009,3.407985482341,338.966593361205,13.62,141
36.57,"T4",2013,10.3143728123944,290.916081613341,10.96,52
36.57,"T1",2013,9.46952536256341,293.76220666542,11.57,68
36.57,"T2",2013,9.26292933176094,279.888220262734,11.42,64
36.57,"T3",2013,10.4032789581613,280.616566983689,11.07,55
49.92,"O1",2013,7.44865149296923,164.322850590851,10.5,55
38.45,"SDL",2014,-0.577298830923567,269.434325930493,13.8,219
38.45,"SDL",2013,0.750017192460791,262.414799697618,14.68,171
41.6447,"PEN",2006,16.2602408913629,237.864864949682,9.81,30
41.6447,"PEN",2010,16.3168984776534,240.181593690806,9.63,25
46.45,"5T1",2001,3.12077632237153,201.713828949091,13.62,109
46.45,"5T1",2002,2.37271628181605,197.057652232016,13.08,99
46.45,"5T1",2003,3.45521367883748,193.616431177785,13.64,110
46.45,"5T1",2004,2.61502043437958,208.453033185003,14.32,124
46.45,"5T1",2005,2.57489182286299,199.844756695717,15.08,142
46.45,"5T3",2004,2.25219861309591,193.425000743545,14.98,140
46.45,"5T3",2005,1.48993685924369,207.260025921298,14.58,129
46.38666667,"N13d",2009,5.70476253527228,198.137822369022,11.39,68
46.38666667,"N13d",2010,5.3428106205524,196.61286045037,11.82,76
46.38666667,"N13d",2011,5.55136734004035,198.11136363931,12.03,80
46.38666667,"N13d",2012,5.57871733524849,195.777701565351,11.74,75
46.38666667,"N13d",2013,5.15373127798399,199.258501281292,12.22,83
46.38666667,"N13d",2007,5.59045019532507,198.726977767915,11.64,73
46.38666667,"N13d",2008,5.37636174211189,196.070625321961,13.16,101
46.38666667,"N19",2007,2.80040706789739,193.453622502817,13.79,113
46.38666667,"N19",2008,3.34839242501787,200.665125052201,13.26,103
46.38666667,"N19",2009,2.54115148800769,203.94620027543,14.02,117
46.38666667,"N19",2010,3.19317273719505,202.20525620078,12.97,97
46.38666667,"N16",2010,5.00733754095449,194.876539033097,13.13,100
46.38666667,"N16",2007,5.06138073856907,203.373665195316,12.03,80
46.38666667,"N16",2009,5.19683706232139,196.699282920363,11.12,63
46.38666667,"N16",2008,4.30285635734678,194.971876822354,13.53,108
46.39166667,"S22",2010,3.18438435685023,201.827288149457,14.38,125
46.39166667,"S22",2011,2.36812505301811,196.529153196213,14.64,131
46.39166667,"S22",2012,2.76166282826666,193.523112518177,14.22,122
46.39166667,"S22",2013,3.1791131774552,195.735017936503,13.57,108
46.39166667,"S22",2008,2.63782305172301,195.499360133415,13.63,110
46.39166667,"S22",2009,3.24128948420499,196.393235720864,13.67,110
46.39166667,"S22",2007,2.79779231161999,196.283336809313,14.14,120
46.39166667,"S16",2011,5.05587999838752,212.931230894297,12.63,91
46.39166667,"S16",2012,4.84663856604123,197.679727339698,12.89,96
46.39166667,"S16",2013,4.12715174176837,195.742001771151,12.93,96
46.39166667,"S16",2009,5.6550633866773,194.667719242014,12.82,94
46.39166667,"S16",2010,4.12528617718328,200.035137114653,12.65,91
46.39166667,"S16",2007,4.34853619022421,198.431542819873,12.74,93
46.39166667,"S16",2008,4.57649928671488,195.441011623962,12.78,94
46.39166667,"S19",2010,3.19705890567024,195.179425997718,14.01,117
46.39166667,"S19",2007,4.54820670874218,195.156126639318,12.3,85
46.39166667,"S19",2008,3.41245541014115,197.410328170751,13.58,109
46.39166667,"S19",2009,3.61550085217485,196.134743784577,12.33,85
46.39166667,"S19",2011,4.17415183978113,194.757733612292,12.52,89
46.39166667,"S19",2012,3.59367337925485,196.879434757977,12.68,92
46.39166667,"S19",2013,3.83309108754642,196.027316825075,12.61,90
46.38333333,"N13w",2013,4.68736178637507,193.386447147846,12.93,96
46.38333333,"N08",2008,9.06289696856076,195.787815360142,9.91,41
46.38333333,"N08",2009,8.7427259166552,201.776534591648,10,42
